valor_transacao,numero_cartao,id_lojista,mes_transacao,ano_transacao,dia_transacao,hora_transacao,minuto_transacao,segundo_transacao,indicador_fraude
99419,8997913141535526,2404,11,2024,7,17,35,35,0
68195,7541928802920855,1001,6,2019,3,0,30,13,0
41786,7858356699602541,815,3,2019,30,22,24,20,1
12639,3681593517097425,406,12,2020,2,2,10,56,0
90684,5435842223538127,1502,7,2024,7,14,26,56,0
71038,7860281191954543,3702,7,2017,1,9,20,39,1
88174,3549824110825771,2658,2,2023,3,13,11,24,1
74749,1104217560509619,2620,3,2010,1,8,30,48,0
91413,2949927743362845,3584,10,2016,1,18,10,52,0
6239,6317105093447254,132,7,2013,29,11,35,53,0
70542,3118898554483466,2366,3,2021,9,19,10,53,0
71978,2500759855783719,2752,2,2024,7,13,35,13,0
9556,6302841067378203,4906,11,2011,1,1,50,6,1
17811,8485110151701937,1889,12,2024,24,15,35,21,1
62143,4571109518960107,1816,1,2015,17,13,5,42,0
13184,9457405918888771,3065,1,2014,12,8,7,53,0
77569,7489756206736563,4520,1,2015,20,11,14,51,1
73021,9198307438243114,4448,10,2019,19,22,52,15,1
79639,7443826576010904,4964,4,2018,19,11,58,57,1
94780,9777438280678894,407,6,2011,30,17,34,3,1
76476,3013071502645434,1189,10,2024,17,10,20,34,0
3814,2474547307865589,155,3,2021,8,0,6,16,1
55783,3412454640647291,2317,11,2023,19,9,25,14,0
39816,8328068221817513,1607,10,2013,10,12,53,51,0
36132,7184040153840571,4585,4,2023,20,17,28,47,0
45198,5394854267596597,578,1,2016,29,17,5,27,1
30957,2569732854933879,3451,12,2012,29,10,23,30,0
63465,3995225635835622,2095,3,2019,15,22,4,51,1
72096,5451576515623280,1630,3,2022,9,13,39,7,1
80551,2494520428983913,4219,9,2011,27,11,58,49,1
93742,6419640071276496,535,3,2016,1,1,39,39,1
51116,2474056805480059,2287,8,2023,4,4,15,19,1
6326,1586437640512258,499,3,2012,21,12,58,11,1
81456,9232930696644945,2129,12,2011,6,15,17,3,0
75186,6263266731834931,3804,7,2013,4,13,0,15,1
56030,5414964027708214,2296,3,2011,28,7,23,46,1
27532,8208078764806661,4049,2,2018,2,23,38,54,0
5091,3514445586301622,4673,3,2023,27,0,21,34,0
21598,6089081626189391,3375,8,2012,10,13,38,49,1
77671,2962108258526707,2003,9,2022,19,4,47,36,1
94469,4828325963199686,380,11,2021,28,22,11,58,0
97144,1097549156270451,3826,4,2024,24,12,31,53,1
62854,8974405046448745,713,9,2014,4,0,17,15,0
80706,8777379087046958,1455,11,2024,18,5,7,59,1
63168,2096026847827627,2716,5,2011,8,15,29,22,0
43641,2402825803984517,2015,4,2017,25,18,1,44,1
95987,4985098858781720,1229,11,2016,16,7,43,10,1
64492,9186926701727425,3056,8,2024,3,6,47,53,0
88308,5058464093057567,2517,10,2018,11,21,43,17,0
68224,5137309811214716,2222,7,2010,28,19,39,51,1
26894,7927635240356435,1104,2,2018,12,5,42,39,0
39011,3534554414603356,2490,6,2024,26,22,42,2,1
49797,8269092321232661,2246,10,2016,15,21,7,39,0
29979,8495041392299804,2116,4,2016,9,17,9,59,1
81963,8817601452340558,3731,4,2023,28,22,33,26,0
26451,5689145186203507,4396,5,2022,23,1,48,21,1
73799,5133509612335387,1575,4,2010,15,5,41,28,1
49898,9452231997412093,4325,3,2020,27,16,33,5,1
80147,5968064905525208,1138,12,2013,22,19,24,58,0
22015,9805374975728311,3717,10,2019,28,9,59,8,0
72302,1284278339763467,3701,10,2017,28,4,8,54,1
25399,1732854335260851,4119,3,2017,16,22,7,7,1
91056,1516349868226970,1673,6,2011,12,22,16,35,1
32944,3166542280944720,2392,7,2012,1,13,29,32,0
11776,3489349053096266,2787,7,2013,23,15,5,23,1
76726,3536953834436310,3789,6,2014,30,20,50,44,1
86980,8691351309256455,4448,9,2022,1,8,32,10,0
75935,3988116210436543,1547,12,2013,13,10,18,28,0
47195,1307421046360611,2323,10,2011,27,14,44,46,0
89803,5769486764977102,1912,11,2023,21,19,1,56,1
31072,4563405487806797,4939,9,2012,8,11,46,21,1
44882,5625082802000757,1841,4,2023,16,11,1,4,0
65008,1208068644028044,385,6,2018,27,12,49,36,0
70035,5597724130319043,4897,8,2017,10,2,37,22,1
78613,9213451974089648,723,8,2016,18,12,55,28,0
24207,5946364668272510,1573,3,2016,16,5,22,9,0
4684,8215660430742819,2235,10,2013,7,22,31,52,0
29141,5417442278989387,3645,12,2011,17,20,28,45,1
39883,7788474578404366,2541,5,2022,9,14,50,11,0
73689,7152019380319744,4790,1,2016,28,4,43,55,1
84635,3984701344380715,3206,6,2012,25,6,22,54,1
82623,3877758026555054,3716,2,2019,10,6,52,27,0
66105,4274465697377474,3691,1,2020,18,20,13,17,0
58372,7794258545492089,4958,5,2022,23,19,35,43,1
49896,1734219412615761,4020,12,2016,11,13,39,24,0
76390,8271967546955731,2141,2,2010,28,21,4,58,1
30232,3346765329630737,2582,9,2010,27,2,54,30,0
81291,1012402425048581,2171,8,2014,11,23,3,47,1
38874,2111903122067888,4169,11,2017,6,15,58,38,1
46154,9189835231826706,732,7,2019,7,15,57,49,1
35989,1886787640970660,3526,1,2023,12,21,37,37,0
21067,1901196308062182,1734,3,2021,17,11,56,50,0
35952,6883944354480857,3292,2,2011,5,8,51,30,1
24678,5602085847677234,916,8,2010,3,1,14,26,0
37426,7147199978827371,2175,7,2016,23,12,40,39,1
64784,9842931952345144,1856,1,2015,30,15,8,51,1
99620,7579265343584648,4930,8,2010,12,18,32,30,0
74337,2988336215865078,2896,11,2010,20,4,57,34,1
80287,4285673677152743,2365,8,2014,7,4,36,52,0
24845,8109198690181150,4489,11,2022,10,5,18,5,0
54232,8320855793573602,1356,8,2010,11,15,40,36,0
10974,5128092979034051,2975,5,2022,1,8,6,33,0
23860,9360250960942940,4969,2,2020,23,5,47,18,0
11422,6870966990499636,2319,6,2014,28,17,39,3,0
17864,9410488709670274,1779,10,2023,29,4,58,29,0
57270,3430027849187281,4449,3,2013,6,21,50,55,0
92991,5527257351166918,4412,3,2020,10,0,28,40,1
34290,2007407283726777,4818,2,2022,2,14,44,43,0
13386,1628549303063002,1608,4,2016,8,5,10,33,1
75924,5279487100185028,3166,3,2015,3,4,58,33,0
45279,3636140190776538,4484,6,2024,29,4,44,40,0
29487,6055743321697982,3892,8,2019,10,11,47,50,0
24085,8381668035559849,4721,10,2019,25,11,19,35,0
81276,3365627328765092,758,11,2022,4,16,17,42,0
91853,6624861722273597,4824,1,2024,4,16,51,16,0
97473,4323789403194066,801,1,2024,17,20,22,51,1
30489,7448237029451366,2725,3,2021,26,12,42,22,0
85019,7359593596009979,4257,1,2011,17,21,51,25,0
9245,1752529644337948,2908,8,2024,18,14,17,38,0
65593,1332990287518270,3426,8,2022,2,12,47,47,1
3170,6433561314957613,961,4,2017,19,23,12,12,0
61564,2224149870799811,1937,3,2013,2,14,50,4,1
61019,3326344269084468,441,11,2018,26,13,11,30,1
70330,4965383855527475,2430,2,2013,13,12,12,20,0
63885,3115407845329846,3679,4,2019,23,22,46,44,0
93225,3196863310531338,2010,1,2011,22,11,37,34,0
95541,3691159092073709,2184,5,2022,1,2,35,10,0
79249,7323798011089771,4180,12,2018,5,15,52,48,0
16084,6149507008842228,1105,12,2010,23,10,35,2,0
55044,1047567109516681,1077,12,2016,3,13,49,2,1
47867,7941683658893650,3168,3,2017,21,1,36,36,0
23122,7396469968589947,2325,11,2020,25,3,41,57,0
78068,8334210977022876,735,8,2020,25,20,55,14,1
81059,6725350599910992,4962,12,2024,24,0,54,53,1
4000,2998481439512593,2206,1,2022,27,21,55,8,0
42758,5927248448552709,160,10,2018,13,2,3,57,0
8436,7751230851743514,1934,5,2017,6,9,59,41,0
69784,9655785536391818,2654,7,2018,1,17,50,29,1
26928,8228863519555754,2506,1,2012,19,22,31,34,0
58037,9886803312850187,1876,7,2022,5,6,32,3,1
44718,8662076884067942,2321,9,2022,22,17,37,26,1
59390,8818343499584681,4310,10,2014,11,23,30,31,1
50428,4545684961516982,1202,2,2024,15,17,42,34,1
65344,4075604213312301,4744,9,2012,29,5,44,12,0
46389,4080927250195369,1386,2,2018,11,20,36,50,0
81016,7967115741240689,4375,10,2013,21,1,13,27,0
76283,5403834666475671,462,5,2017,4,5,27,51,0
34829,4478255724277636,2020,11,2011,17,17,36,9,1
7406,6174281024469057,4125,1,2017,4,2,0,44,0
39858,8448603201664341,4238,7,2020,30,11,34,7,0
12764,2291968310174835,3498,12,2018,1,11,17,15,1
12688,7671918661385923,220,8,2021,2,12,54,43,1
74735,4359685369727622,4974,8,2016,15,9,4,35,1
14469,4684591022449537,2769,12,2012,3,15,3,10,1
75815,4278130444636956,631,12,2023,11,17,52,57,1
68953,6272144628760304,1567,11,2011,23,5,26,18,0
18905,8796298569057375,4378,5,2020,17,10,23,18,1
56260,6582145767096686,2184,10,2020,16,13,38,12,1
83414,8340203204479202,2655,4,2014,25,22,47,23,1
51402,7756203916463050,3423,12,2023,14,7,56,41,1
9947,8206988075090115,4843,1,2019,26,21,0,54,0
95804,3642259906276459,331,11,2012,1,4,45,52,1
28660,1106738527956392,247,8,2020,6,7,40,39,0
98155,5611647877680191,519,7,2024,22,8,4,39,1
58412,2915724444686742,1876,12,2012,30,8,36,14,1
77281,1849772421441141,4581,1,2010,22,0,37,33,1
30584,8709400416352026,1823,8,2016,2,11,22,21,1
57057,9445817819338669,3260,3,2015,23,1,4,15,0
87667,4317187170968667,1540,6,2020,22,22,57,5,1
46557,7688558342707876,567,1,2010,6,1,32,22,0
50139,6931033629471201,2690,10,2020,28,15,10,18,0
28567,9922963324199773,537,8,2014,20,9,46,2,0
9609,6766218974488395,4668,4,2020,26,6,51,50,1
24547,8820432724145266,730,5,2010,4,14,29,21,1
28934,3290409298245155,2042,5,2010,7,8,20,32,1
28174,7956171658894472,707,11,2012,15,18,3,37,0
65126,7456011344636377,2656,1,2024,7,12,24,32,0
53078,2578077521829345,3574,8,2024,26,13,35,15,0
24075,5188144740558331,2081,6,2014,13,1,20,21,0
24377,2004687663148425,3320,10,2018,4,19,37,54,1
13943,1624210725090583,112,10,2021,16,15,47,58,0
20798,5014051702260865,4265,3,2015,17,15,14,53,1
53308,6820949794293504,4722,1,2011,12,13,13,53,0
76306,1273219402338289,2473,6,2011,15,2,42,48,1
78199,5629706297898037,2795,3,2018,6,0,36,24,1
9335,7096536689955754,1958,8,2012,1,16,27,20,0
89612,8520235524647605,2546,12,2011,6,14,29,58,0
95629,9913976665694276,2163,1,2019,29,4,22,17,0
89778,6353905302842124,1519,6,2018,22,17,31,38,0
43694,7282166708526773,2758,5,2023,3,5,55,48,0
10042,4234743325316264,235,4,2018,26,18,38,50,0
72266,2355099797002923,2108,3,2011,28,14,13,14,0
44624,3038654324695546,3028,11,2010,21,12,42,4,0
60998,8772478753537390,2622,8,2022,5,11,5,56,1
25321,5783849349316275,3511,9,2015,17,15,34,46,1
94931,6328158775594019,1002,10,2014,17,16,18,35,0
65682,8126663740327084,2270,2,2024,12,4,47,21,1
60946,9253175870228432,2660,11,2021,15,1,53,23,0
39474,9125008572489139,1512,12,2023,20,15,29,5,0
70788,2692684071552170,4128,6,2020,4,0,59,25,0
10117,1713410411730897,3370,4,2015,24,18,46,37,0
65005,5172120059083192,362,12,2012,30,9,12,57,1
88516,3608585027644009,1094,11,2011,5,7,17,55,0
45528,6785881602423998,1894,8,2011,5,19,48,25,0
8389,9572732018381585,3963,2,2010,7,3,24,57,1
84816,6414340958296246,135,8,2014,11,13,9,7,1
52280,6139294022587514,3784,10,2021,27,0,20,54,0
59705,8891874105971268,1171,8,2010,4,7,11,56,0
4458,3529787568796161,1743,8,2017,11,19,21,32,1
96422,9920554917838905,520,5,2018,15,3,12,53,0
98235,3834791117554888,4999,9,2017,5,7,14,57,0
27391,6699035458820021,4755,5,2014,29,22,23,7,0
10510,1185845273045138,2134,7,2015,5,3,4,52,0
42436,9693710271429728,1978,4,2019,22,19,54,20,0
17985,5520559244367800,3175,11,2014,9,0,57,0,1
63596,6520422698792752,857,8,2022,11,20,30,42,1
96567,2285344310899397,344,3,2024,4,15,3,51,1
23633,4482491733960158,406,10,2024,11,5,10,8,1
87854,2306346713192963,275,7,2017,26,12,5,16,1
22415,1898588030506890,3935,9,2016,14,18,36,9,1
59156,1693296174104165,3182,4,2013,3,6,25,46,1
68223,5945784885360992,4497,7,2024,17,14,8,1,1
95185,6272350895570415,1940,7,2024,21,15,17,29,1
53565,6095526686068821,4817,9,2015,6,4,16,51,0
92565,9553919453536315,4533,10,2013,21,17,0,40,1
86541,5114132122312560,1459,9,2018,19,10,46,55,1
44750,2923625043352354,2923,8,2023,20,19,13,16,1
61653,5329870155944243,1972,7,2017,27,7,1,48,0
40179,5343519328716091,1558,8,2024,25,7,41,11,0
72662,9163124168152476,356,8,2010,25,13,45,32,0
57238,6131140666064518,4266,12,2023,21,13,48,42,0
18573,3925069589055621,1493,10,2021,5,17,10,10,1
94125,4768540232138413,3879,8,2018,16,22,52,47,1
19291,2120438330240096,2890,11,2024,30,16,40,17,0
83684,6618920071591923,3994,12,2023,24,22,54,16,1
19325,4933923343526638,705,10,2019,1,17,27,0,1
32608,4914370029335826,133,2,2022,14,13,2,23,0
19990,5870436924776662,4399,5,2023,3,14,20,53,1
17116,1335867073528375,718,8,2021,11,21,47,0,1
34031,7269238649446703,3431,1,2022,4,4,16,28,0
72295,1183408615035225,177,12,2015,2,21,51,10,1
72495,1151714564179736,3571,1,2018,3,6,4,5,0
98131,7224771103810111,2061,10,2012,11,20,36,24,1
34092,6096719129858767,4769,12,2021,10,6,20,23,0
84761,4258588443764001,4490,3,2020,14,8,19,32,1
95298,7975058075262485,3063,12,2011,3,23,1,27,0
65238,1155876849414457,3290,9,2013,9,22,53,35,0
86465,1910001677019253,2741,8,2018,6,14,17,40,1
73849,1447502960459792,1651,1,2011,2,2,7,54,1
58400,8374298899535902,698,7,2020,4,12,45,40,1
89949,5269061780141985,4260,7,2016,19,16,32,59,0
78756,7604876027980930,1708,5,2014,17,23,51,54,0
30130,6255552295848317,283,2,2010,23,8,41,43,0
83991,9188044186604883,4910,1,2011,24,8,5,22,1
45251,8117244781437233,4714,6,2018,29,11,52,39,0
69754,6954392564149529,146,7,2018,1,16,43,21,0
48098,7946710446407886,2936,9,2010,7,3,19,24,1
11989,4933248213583815,4805,8,2021,26,22,32,22,0
73479,7424723402428275,1916,6,2018,24,22,49,22,1
23737,5526026966387688,4987,4,2010,18,22,39,35,0
84512,7662897084728799,3440,9,2011,17,2,11,29,1
66309,7726210194327383,2389,8,2024,28,16,27,5,0
61081,7875664325318240,387,2,2015,13,21,25,21,1
39740,3865585665778476,1656,2,2014,6,18,35,18,1
76218,3170852044310791,911,6,2023,14,5,2,35,1
46144,8286986747308095,237,3,2023,11,0,31,14,0
84174,6091067257346224,2457,3,2020,17,23,24,57,0
79291,6149034247250407,3729,10,2015,7,14,53,29,1
18845,4349943666241081,651,8,2012,28,9,36,48,0
71883,6313749791023932,4650,7,2014,28,17,17,26,1
72183,4545431481784001,1559,2,2017,8,12,51,11,0
95572,6942053311843082,4910,2,2018,29,14,47,58,0
6119,4508479895547273,4944,12,2020,19,12,28,37,1
83267,1458043149218676,4290,11,2020,25,16,3,54,1
8632,4496553646794804,3022,6,2015,6,4,8,9,1
16013,2399827335437266,1474,5,2021,28,16,49,47,1
62804,5106433976865232,1581,8,2016,25,17,59,20,0
28095,3240711048785422,2196,10,2017,29,19,56,51,1
50085,6889384830148950,3896,9,2014,24,16,3,29,1
31950,2311229258037786,4506,5,2019,9,5,8,23,1
62524,4213044681602300,3116,4,2012,17,11,36,6,0
26581,1672965027382331,3781,9,2018,4,6,27,57,1
10206,2126296461375945,1927,6,2013,4,5,6,37,1
34985,8480835876482061,1859,9,2011,30,12,24,10,1
67048,2613467530269541,4968,1,2020,24,15,44,11,1
68275,5305980989638653,4557,3,2013,6,3,35,29,0
90708,1705092672458135,2378,10,2014,7,15,54,13,1
33839,6955572220099411,428,7,2013,22,6,15,51,1
15405,2683232821715105,2855,2,2017,15,9,41,20,0
62120,3785278663525584,1553,11,2019,12,20,56,34,0
17088,5950963094548620,166,8,2014,21,10,48,1,1
40595,1883874842304551,4415,9,2021,20,6,55,40,0
16785,9905988726881969,1132,6,2017,6,15,8,43,1
93929,3188091414946968,2126,7,2010,15,9,6,39,1
11778,1680460642980526,4842,12,2018,7,17,57,19,0
4144,7952062765713460,3575,10,2010,22,19,14,0,0
52734,9930821199672111,4685,4,2022,28,17,48,36,1
74401,3920552525391813,1524,8,2024,19,14,38,1,1
73983,6121744757649502,3749,2,2021,30,14,14,50,0
63904,3123241383371911,3286,8,2014,8,4,56,32,1
24524,3767707011943508,1790,7,2010,24,20,7,56,0
28380,1429464624693006,3850,8,2023,5,14,59,4,1
72470,4464437250717193,1968,5,2019,15,3,34,48,1
59993,3527983972453374,213,11,2022,3,23,16,40,1
66984,4956938933061124,805,6,2019,14,8,37,6,1
15028,2304369640111594,3085,7,2012,13,6,47,41,0
81304,9782261879924884,3484,9,2017,8,5,9,45,0
81128,7435015568279059,4235,10,2020,25,22,16,46,1
45067,4332895932569620,639,11,2014,19,12,27,42,1
44315,3347912498219668,979,3,2013,22,17,34,44,1
77210,5342065444137301,2805,6,2011,12,14,21,46,1
76712,1308294917369183,3948,10,2015,19,13,23,13,0
99327,9122054339811271,4576,3,2015,18,4,34,46,0
68289,6021638692693241,3900,4,2012,20,7,9,31,0
50717,4967593590392241,357,6,2019,25,10,35,48,0
65511,8525963565556513,4662,12,2012,30,13,56,57,1
66367,4337388777385734,4898,12,2014,10,23,7,48,1
58939,7902830068559798,2556,6,2016,27,9,57,11,1
61423,6456841841368894,3053,6,2020,27,19,57,54,0
17848,6568545256959079,3814,1,2020,22,8,21,15,0
56432,7781345364470921,3338,12,2018,10,4,58,25,1
90456,1826854580687426,555,5,2016,2,3,2,0,1
94404,4041202049641030,3742,10,2013,19,19,36,51,1
45603,7510212380337125,4358,12,2023,25,16,41,19,1
2009,9201574394063337,1354,12,2016,26,4,35,27,0
15331,9928710634395360,4225,12,2016,15,7,15,32,1
59426,8666666673941407,4364,2,2022,9,18,57,42,1
85292,1214116995113741,1892,8,2011,12,4,33,41,0
19138,6220837519022837,423,1,2023,4,8,2,10,1
78008,6695850963369887,444,9,2011,1,21,37,39,1
57257,2144478547582251,3965,9,2011,20,9,57,40,1
91447,8156724259265274,2170,4,2011,5,4,45,49,1
38023,5152866409850216,3610,10,2012,14,20,21,34,0
38116,7676260212773651,4201,1,2012,21,9,18,27,1
13091,7801798383691939,3331,1,2011,24,15,13,37,0
35478,1988596349211401,744,2,2018,1,19,36,43,1
82572,3147981120584370,3971,12,2012,3,8,50,56,1
56232,9337737497634636,4052,1,2022,25,20,50,35,0
69817,4667852096072526,3437,10,2011,14,6,30,54,0
44948,6387953444740130,3903,5,2024,5,13,57,19,1
64101,1356675722542789,3502,4,2017,30,8,39,31,1
1248,2753187804804391,3302,9,2024,19,16,6,34,1
76426,1867575854360914,775,2,2012,25,13,52,28,1
39890,5633857859063874,461,6,2012,26,8,58,15,1
30476,9102671125798987,3434,1,2014,15,17,4,24,1
4533,5415845702653079,4157,10,2015,22,22,57,40,1
56384,3201616117619254,3737,1,2021,17,12,13,22,0
82578,8155814274725087,2180,4,2017,7,13,6,49,0
32547,9710400305944471,4348,7,2018,4,21,40,14,1
49633,6656793916360477,830,1,2015,22,13,16,44,1
59812,1732964005488955,2392,5,2014,13,2,52,17,0
85227,8660709532331939,2196,9,2021,29,0,44,9,1
80956,8831268504643615,2125,6,2016,10,15,47,35,1
3856,4161373366250004,2466,8,2012,19,10,56,20,1
32055,3368929845071584,4951,7,2021,24,12,0,36,1
41393,7767330577397655,2919,10,2020,30,8,50,24,0
30646,5484362271175153,2523,10,2011,11,18,22,0,1
38258,3932720956270637,3684,8,2023,25,22,36,28,0
8863,9899112704943192,454,11,2012,28,4,51,24,1
93177,7002745086851556,4986,7,2015,23,12,42,26,1
85379,6179820297816223,4036,3,2013,14,0,28,15,1
37730,1678565503494497,578,10,2019,1,16,30,44,1
6635,2047967944683096,770,12,2010,24,9,31,59,0
22708,6051966236373814,3824,12,2013,14,4,46,31,0
80175,9423212871818730,4335,10,2014,25,14,56,12,0
8226,5463917100772748,1899,7,2010,16,23,58,51,1
33666,2893497397261907,1224,2,2012,8,20,51,54,0
35785,1037584812816199,3892,7,2022,1,6,17,55,0
24324,7394911513915882,3999,2,2024,20,20,22,44,0
22509,5645259725770199,2406,12,2017,1,14,22,41,0
21421,5080538043422258,678,11,2015,27,10,43,58,0
3346,1395418114900509,3928,7,2014,17,8,46,17,0
30815,9801300913280866,1864,7,2019,15,14,40,2,0
36599,6846309914366482,2171,1,2014,11,9,46,11,1
63757,4247281156784964,1323,6,2011,19,0,53,0,0
61353,9205545575790144,3139,5,2012,1,4,37,10,0
62768,9206521200316670,3676,1,2012,27,13,37,58,0
34838,8382864836737051,3957,4,2016,5,15,54,12,0
59897,6803128564745316,376,4,2017,11,14,12,47,0
98607,2564048776987494,126,7,2018,13,20,28,17,0
58383,5528035404458798,782,1,2012,23,22,12,34,0
19312,2694295710730252,4598,5,2013,21,0,34,12,1
49334,5581662562860912,4654,1,2018,3,21,28,24,1
88804,8944060609326911,330,2,2019,20,23,1,13,0
61891,6965408443444161,1145,2,2016,12,21,3,43,1
68245,7511854944399658,1793,11,2018,3,5,29,34,1
70571,3177896210796375,3272,5,2024,23,18,7,36,1
75641,4479035146093384,2310,7,2018,26,9,25,4,1
13293,8534588865494314,4032,6,2016,4,1,28,3,1
24202,4088399265638941,4626,3,2021,16,21,33,32,1
87915,6030955007790212,2364,6,2010,7,20,36,41,1
80585,5135541867489583,1043,7,2020,18,22,46,27,0
85017,4710654791439200,912,7,2010,27,8,17,57,0
71703,9011480494903583,3811,8,2020,4,19,46,55,0
58075,4035259552226593,4557,10,2020,21,1,39,40,0
6789,7703233278349922,4413,1,2015,26,21,45,38,1
98752,5842152127532288,721,5,2012,9,11,3,20,0
11209,5451092712578753,509,4,2024,13,0,54,44,1
65921,7447786218251779,641,10,2024,24,11,33,27,1
51179,1759226589057784,1920,10,2018,23,16,45,2,0
63545,3210539648595079,3729,11,2023,7,21,19,12,1
24739,3099820984670432,1152,11,2022,8,22,5,6,1
35368,7135878266679283,251,3,2013,5,20,13,29,0
34960,3363778042777341,772,5,2021,1,8,39,5,0
89602,1463047697592764,2793,11,2019,25,4,32,45,1
22439,5365628192519955,226,2,2018,14,13,42,0,1
16569,4343597012292643,4827,2,2013,24,20,15,32,0
43450,9952869433731008,1328,2,2020,21,15,30,59,1
72701,6910286520979088,683,5,2023,20,1,16,33,1
82488,7085136109456977,4102,1,2022,23,5,58,43,0
59922,9328032826940349,808,5,2014,3,19,35,18,1
54732,6169638842762348,1418,6,2019,3,17,9,55,1
55536,6592399357503312,755,9,2024,15,6,28,51,0
10188,3401082294164449,2262,1,2011,20,17,24,37,0
42818,9508423246388185,2160,4,2021,26,1,52,15,1
63883,4520164290811070,606,11,2013,30,8,43,28,0
22211,1546595989809235,3024,10,2010,7,23,51,41,1
15613,5248094364630490,3127,1,2016,23,12,56,2,0
81575,8823992472961572,391,3,2022,9,20,32,44,1
11571,6664778723813095,4354,5,2016,30,7,7,2,1
78491,9725496695885107,3026,10,2020,24,0,22,43,0
43017,2133028037880379,3537,5,2011,18,3,37,51,1
78737,1130897232443574,1396,5,2024,30,0,10,51,1
24557,2175632201521000,1901,5,2014,22,15,5,28,0
90554,7174624495842318,3180,9,2022,2,23,20,42,0
63075,5480556937227039,587,4,2015,29,14,35,41,0
40941,2833198601802583,2873,1,2014,8,15,9,22,0
93252,5146761134947128,3695,1,2023,7,22,21,32,0
96938,7083460716059420,411,5,2013,25,0,55,27,1
91198,7376150104596295,2044,1,2022,14,2,39,59,0
25923,7939392050389704,3674,8,2020,7,20,0,27,1
89578,3248303503148483,819,3,2018,9,11,41,25,1
2937,9473061081531469,4384,4,2014,7,12,51,39,0
28713,6535503535396470,1935,8,2014,6,19,54,21,0
7073,1938122406398462,268,1,2016,16,9,7,32,0
73993,6465461930317546,224,8,2012,14,22,18,59,0
52513,1086901506352339,3550,5,2023,18,23,12,50,0
89645,8660799787627086,1614,2,2010,28,15,40,39,1
15192,6221220523228553,247,4,2021,18,18,48,58,1
77716,9036076520232392,1505,9,2021,27,10,13,0,1
5242,3653122127921530,402,10,2013,3,13,14,59,1
3291,9451510390034723,1702,5,2019,15,16,42,37,1
96021,1412013773431808,2986,8,2024,20,23,31,38,1
11093,2843225522164663,3227,7,2023,13,12,45,48,1
77919,4907548884295060,2804,10,2010,25,15,56,17,1
52081,3210117129352719,3988,8,2014,21,3,15,51,1
28413,2703736759926500,269,8,2018,6,18,2,38,1
50378,9924483530646226,3063,6,2024,28,10,52,24,1
8847,5015421465039835,2125,2,2024,30,9,2,56,0
